response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
22125,CES201802,1737,can,op de bbq kip eroverheen,barbecue kip eroverheen,barbecue chicken over it,use can as barbecue chicken over it,use can as barbecue chicken over it,3,5
20867,CES201802,1561,can,barriere,barrière,barrier,use can as barrier,use can as barrier,3,4
22340,CES201802,1765,can,basketbal,basketbal,basketball,use can as basketball,use can as basketball,3,2
18762,CES201802,1307,can,\beelden object maken,beelden object,images object,use can as images object,use can as images object,3,3
19460,CES201802,1399,can,beeldhouwwerk,beeldhouwwerk,sculpture,use can as sculpture,use can as sculpture,3,3
22454,CES201802,1778,can,beerpong glas,beer pong glas,beer pong glass,use can as beer pong glass,use can as beer pong glass,3,5
22354,CES201802,1767,can,begrenzing,begrenzing,limit,use can as limit,use can as limit,2,4
22436,CES201802,1775,can,behuizing,behuizing,housing,use can as housing,use can as housing,2,4
18727,CES201802,1303,can,beker,beker,cup,use can as cup,use can as cup,2,5
18994,CES201802,1332,can,beker,beker,cup,use can as cup,use can as cup,2,5
19041,CES201802,1338,can,beker,beker,cup,use can as cup,use can as cup,2,5
19455,CES201802,1399,can,beker,beker,cup,use can as cup,use can as cup,2,5
19492,CES201802,1400,can,beker,beker,cup,use can as cup,use can as cup,2,5
19572,CES201802,1411,can,beker,beker,cup,use can as cup,use can as cup,2,5
19658,CES201802,1421,can,Beker,beker,cup,use can as cup,use can as cup,2,5
19680,CES201802,1420,can,beker,beker,cup,use can as cup,use can as cup,2,5
19733,CES201802,1423,can,BEKER,beker,cup,use can as cup,use can as cup,2,5
19764,CES201802,1428,can,beker,beker,cup,use can as cup,use can as cup,2,5
19986.1,CES201802,1451,can,beker,beker,cup,use can as cup,use can as cup,2,5
19987,CES201802,1451,can,bker,beker,cup,use can as cup,use can as cup,2,5
19994,CES201802,1451,can,beker,beker,cup,use can as cup,use can as cup,2,5
20511,CES201802,1518,can,Beker,beker,cup,use can as cup,use can as cup,2,5
20748,CES201802,1549,can,beker,beker,cup,use can as cup,use can as cup,2,5
20800,CES201802,1556,can,beker,beker,cup,use can as cup,use can as cup,2,5
20866,CES201802,1561,can,beker,beker,cup,use can as cup,use can as cup,2,5
20916,CES201802,1568,can,beker,beker,cup,use can as cup,use can as cup,2,5
21109,CES201802,1607,can,beker,beker,cup,use can as cup,use can as cup,2,5
21816,CES201802,1692,can,beker van maken,beker,cup,use can as cup,use can as cup,2,5
22175,CES201802,1744,can,beker,beker,cup,use can as cup,use can as cup,2,5
22432,CES201802,1775,can,beker,beker,cup,use can as cup,use can as cup,2,5
22562,CES201802,1791,can,beker,beker,cup,use can as cup,use can as cup,2,5
22762,CES201802,1815,can,beker,beker,cup,use can as cup,use can as cup,2,5
22842,CES201802,1827,can,beker,beker,cup,use can as cup,use can as cup,2,5
22865,CES201802,1829,can,beker,beker,cup,use can as cup,use can as cup,2,5
18908,CES201802,1324,can,Beker voor drinken,beker drinken,drink cup,use can as drink cup,use can as drink cup,2,5
19841,CES201802,1442,can,bekerhouder,bekerhouder,cup holder,use can as cup holder,use can as cup holder,2,5
21600,CES201802,1666,can,bekerhouder,bekerhouder,cup holder,use can as cup holder,use can as cup holder,2,5
22246,CES201802,1754,can,bekijken,bekijken,look at,use can as look at,use can as look at,2,5
19373,CES201802,1384,can,bel,bel,call,use can as call,use can as call,4,3
19465,CES201802,1399,can,bel voor op de fiets,bel fiets,call bike,use can as call bike,use can as call bike,4,3
23104,CES201802,1857,can,bellen,bellen,call,use can as call,use can as call,2,4
19238,CES201802,1362,can,beplakken,beplakken,plaster,use can as plaster,use can as plaster,2,5
22442,CES201802,1776,can,berg er dingen ni op,berg dingen,pile of things,use can as pile of things,use can as pile of things,2,5
22472,CES201802,1781,can,berging,berging,salvage,use can as salvage,use can as salvage,2,5
20892,CES201802,1564,can,beschermen van zonlicht,beschermen zonlicht,protect sunlight,use can as protect sunlight,use can to protect sunlight,2,4
22347,CES201802,1767,can,beschermend schild,beschermend schild,protective shield,use can as protective shield,use can as protective shield,3,3
18907,CES201802,1324,can,Bescherming tegen de zon,bescherming tegen zon,protection from sun,use can as protection from sun,use can as protection from sun,2,4
18882,CES201802,1320,can,beschilderen,beschilderen,paint,use can as paint,use can as paint,3,4
19237,CES201802,1362,can,beschilderen,beschilderen,paint,use can as paint,use can as paint,3,4
18708,CES201802,1302,can,bestek in doen,bestek,cutlery,use can as cutlery,use can as cutlery,3,5
19622,CES201802,1418,can,bestekbakje,bestekbakje,cutlery tray,use can as cutlery tray,use can as cutlery tray,2,5
19614,CES201802,1415,can,bestekhouder,bestekhouder,cutlery holder,use can as cutlery holder,use can as cutlery holder,2,5
20744,CES201802,1549,can,bestekhouder,bestekhouder,cutlery holder,use can as cutlery holder,use can as cutlery holder,2,5
21291,CES201802,1629,can,bestekhouder,bestekhouder,cutlery holder,use can as cutlery holder,use can as cutlery holder,2,5
23014,CES201802,1846,can,Bestellen,bestellen,order,use can as order,use can as order,2,5
19610,CES201802,1415,can,betaalmiddel,betaalmiddel,means of payment,use can as means of payment,use can as means of payment,4,2
20915,CES201802,1568,can,bewaar bakje,bewaar bakje,save container,use can as save container,use can as save container,1,5
21189,CES201802,1616,can,bewaar blik voor dingen,bewaar blik dingen,save canned things,use can as save canned things,use can as save canned things,1,5
19608,CES201802,1415,can,bewaar ding,bewaar ding,save thing,use can as save thing,use can as save thing,1,5
23264,CES201802,1876,can,bewaarpot,bewaar pot,save jar,use can as save jar,use can as save jar,1,5
21647,CES201802,1670,can,bewaarbakje,bewaarbakje,storage container,use can as storage container,use can as storage container,1,5
23510,CES201802,1903,can,bewaarbakje,bewaarbakje,storage container,use can as storage container,use can as storage container,1,5
20819.5,CES201802,1557,can, als bewaarder voor ander,bewaarder ander,custodian other,use can as custodian other,use can as custodian other,1,5
22959,CES201802,1839,can,bewaardoosje,bewaardoosje,storage box,use can as storage box,use can as storage box,1,5
19254,CES201802,1364,can,iets in te doen om het te bewaren,bewaren,save,use can as save,use can as save,1,5
19378,CES201802,1384,can,opbewaren,bewaren,save,use can as save,use can as save,1,5
19588,CES201802,1413,can,bewaren,bewaren,save,use can as save,use can as save,1,5
20540,CES201802,1523,can,iets in bewaren,bewaren,save,use can as save,use can as save,1,5
21015,CES201802,1577,can,iets in bewaren ,bewaren,save,use can as save,use can as save,1,5
21130,CES201802,1609,can,iets in bewaren,bewaren,save,use can as save,use can as save,1,5
21374,CES201802,1638,can,iets in bewaren,bewaren,save,use can as save,use can as save,1,5
23492,CES201802,1900,can,bewaren,bewaren,save,use can as save,use can as save,1,5
23526,CES201802,1906,can,bewaren,bewaren,save,use can as save,use can as save,1,5
18868,CES201802,1318,can,bewaren van spullen,bewaren spullen,store things,use can as store things,use can as store things,1,5
20982,CES201802,1571,can,iemand bewusteloos slaan,bewusteloos slaan,knock out,use can as knock out,use can as knock out,2,4
22763,CES201802,1815,can,bidon,bidon,bottle,use can as bottle,use can as bottle,2,5
20323,CES201802,1498,can,bier,bier,beer,use can as beer,use can as beer,1,5
20383,CES201802,1505,can,bier,bier,beer,use can as beer,use can as beer,1,5
20807,CES201802,1555,can,bier,bier,beer,use can as beer,use can as beer,1,5
20995,CES201802,1573,can,bier,bier,beer,use can as beer,use can as beer,1,5
21169,CES201802,1615,can,bier,bier,beer,use can as beer,use can as beer,1,5
21182,CES201802,1616,can,bier,bier,beer,use can as beer,use can as beer,1,5
21495,CES201802,1650,can,bier,bier,beer,use can as beer,use can as beer,1,5
21950,CES201802,1713,can,bier,bier,beer,use can as beer,use can as beer,1,5
21998,CES201802,1720,can,bier,bier,beer,use can as beer,use can as beer,1,5
22711,CES201802,1811,can,Bier,bier,beer,use can as beer,use can as beer,1,5
22781,CES201802,1820,can,Bier,bier,beer,use can as beer,use can as beer,1,5
22849,CES201802,1827,can,bier,bier,beer,use can as beer,use can as beer,1,5
23186,CES201802,1867,can,bier,bier,beer,use can as beer,use can as beer,1,5
23341,CES201802,1886,can,bier,bier,beer,use can as beer,use can as beer,1,5
23393,CES201802,1890,can,bier,bier,beer,use can as beer,use can as beer,1,5
22685,CES201802,1807,can,bier drinken,bier drinken,drinking beer,use can as drinking beer,use can as drinking beer,1,5
22912,CES201802,1835,can,bier dirnken,bier drinken,drinking beer,use can as drinking beer,use can as drinking beer,1,5
19013,CES201802,1334,can,biertje mee openen,biertje openen,open beer,use can as open beer,use can as open beer,2,5
22415,CES201802,1774,can,bierzwaarden spel,bierzwaarden spel,beer swords game,use can as beer swords game,use can as beer swords game,2,5
22715.1,CES201802,1811,can,Blaadjes tegenhouden,blaadjes tegenhouden,collect leaves,use can as collect leaves,use can as collect leaves,2,5
18923,CES201802,1325,can,blik op werken op zetten,blik werken zetten,put can work,use can as put can work,use can as put can work,2,5
19329,CES201802,1376,can,Blikwerpen,blik werpen,take look,use can as take look,use can as take look,2,5
21650,CES201802,1670,can,blikwerpen,blik werpen,take look,use can as take look,use can as take look,2,5
19356,CES201802,1383,can,blikje,blikje,can,use can as can,use can as can,1,5
22128,CES201802,1737,can,blikje,blikje,can,use can as can,use can as can,1,5
21012,CES201802,1576,can,blikje gooien,blikje gooien,throw can,use can as throw can,use can as throw can,2,5
22146,CES201802,1741,can,blikje gooien een spel,blikje gooien spel,can throwing game,use can as can throwing game,use can as can throwing game,2,5
22776,CES201802,1819,can,blikje van milieuvriendelijk materiaal,blikje milieuvriendelijk materiaal,can environmentally friendly material,use can as can environmentally friendly material,use can as can environmentally friendly material,2,5
22775,CES201802,1819,can,blikje dat niet lekt,blikje niet lekt,can is not leaking,use can as can is not leaking,use can as can is not leaking,2,5
22777,CES201802,1819,can,blikje van papier dat te recyclen is,blikje papier recyclen,recycle can of paper,use can as recycle can of paper,use can as recycle can of paper,2,3
21435,CES201802,1643,can,blikje schilderen,blikje schilderen,can painting,use can as can painting,use can as can painting,3,4
23383,CES201802,1888,can,blikje schilderen,blikje schilderen,can painting,use can as can painting,use can as can painting,3,4
19956,CES201802,1450,can,blikje tonijn aan de kat geven,blikje tonijn kat geven,can of tuna to give to cat,use can as can of tuna to give to cat,use can as can of tuna to give to cat,2,5
20509,CES201802,1518,can,Blikje trap,blikje trap,can stairs,use can as can stairs,use can as can stairs,3,5
21181,CES201802,1616,can,blikje trap (spelletje),blikje trap,can stairs,use can as can stairs,use can as can stairs,3,5
18968,CES201802,1329,can,blikje trap spelen,blikje trap spelen,play can kick,use can as play can kick,use can as play can kick,3,5
22411,CES201802,1774,can,blikje in de water,blikje water,can of water,use can as can of water,use can as can of water,0,0
18605,CES201802,1292,can,een blikjes auto,blikjes auto,can car,use can as can car,use can as can car,3,3
20844,CES201802,1560,can,Blikjes dier mee knutselen,blikjes dier knutselen,tin can animal crafts,use can as tin can animal crafts,use can as tin can animal crafts,3,3
21236,CES201802,1622,can,twee blikjes maakt een telefoon,blikjes maakt telefoon,cans makes phone,use can as cans makes phone,use can as cans makes phone,2,4
20960,CES201802,1572,can,blikjes opstapelen,blikjes opstapelen,stacking cans,use can as stacking cans,use can as stacking cans,2,5
18606,CES201802,1292,can,een blikjes raket,blikjes raket,can rocket,use can as can rocket,use can as can rocket,3,4
19955,CES201802,1450,can,blikjes sparen,blikjes sparen,save cans,use can as save cans,use can as save cans,2,5
19090,CES201802,1342,can,blikjes verven ter decoratie,blikjes verven ter decoratie,paint cans for decoration,use can as paint cans for decoration,use can for paint cans for decoration,3,4
22414,CES201802,1774,can,blikjesfundering,blikjesfundering,can foundation,use can as can foundation,use can as can foundation,3,3
23429,CES201802,1895,can,Blikjeshuis bouwen voor kinderen,blikjeshuis bouwen kinderen,children can building house,use can as children can building house,use can as children can building house,3,4
22413,CES201802,1774,can,blikjestoren,blikjestoren,can tower,use can as can tower,use can as can tower,2,5
22451,CES201802,1778,can,blikjetrap,blikjetrap,can stairs,use can as can stairs,use can as can stairs,3,5
20810,CES201802,1555,can,blikken,blikken,looks,use can as looks,use can as looks,1,5
22744,CES201802,1817,can,blikkenman uit wizard of OZ,blikken man Wizard Oz,tin man Wizard Oz,use can as tin man Wizard Oz,use can as tin man Wizard Oz,2,5
19976,CES201802,1455,can,blikken toren bouwen om om te gooien,blikken toren bouwen gooien,building tin tower throwing,use can as building tin tower throwing,use can as building tin tower throwing,2,5
20390,CES201802,1505,can,blikkenvanger,blikkenvanger,eye-catcher,use can as eye-catcher,use can as eye-catcher,0,0
23146,CES201802,1862,can,blikkie trap,blikkie trap,tin kick,use can as tin kick,use can as tin kick,3,5
18561,CES201802,1283,can,blikkie trap spelen,blikkie trap spelen,playing tin can kick,use can as playing tin can kick,use can as playing tin can kick,3,5
19823,CES201802,1436,can,blikkie trap spellejte van vroeger,blikkie trap spellejte vroeger,can kick games in past,use can as can kick games in past,use can as can kick games in past,3,5
21842,CES201802,1696,can,Bliklopen,bliklopen,stilts,use can as stilts,use can as stilts,3,5
23273,CES201802,1876,can,bliklopen,bliklopen,stilts,use can as stilts,use can as stilts,3,5
23272,CES201802,1876,can,blikmannen,blikmannen,tin men,use can as tin men,use can as tin men,0,0
19081,CES201802,1342,can,blikopener,blikopener,can opener,use can as can opener,use can as can opener,2,3
20278,CES201802,1493,can,blikopener,blikopener,can opener,use can as can opener,use can as can opener,2,3
21076,CES201802,1592,can,blikopener gebruiken,blikopener,can opener,use can as can opener,use can as can opener,2,3
23106,CES201802,1857,can,blikopener,blikopener,can opener,use can as can opener,use can as can opener,2,3
18952.2,CES201802,1330,can, bliktelefoon,bliktelefoon,can phone,use can as can phone,use can as can phone,2,4
18953,CES201802,1330,can,bliktelefoon,bliktelefoon,can phone,use can as can phone,use can as can phone,2,4
22390,CES201802,1770,can,je kan er een bloem in doen en als vaas gebruiken,bloem vaas,flower vase,use can as flower vase,use can as flower vase,2,5
18861,CES201802,1317,can,bloembak,bloembak,flower box,use can as flower box,use can as flower box,2,5
21141,CES201802,1610,can,bloembak,bloembak,flower box,use can as flower box,use can as flower box,2,5
