research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201606,1454,36,book,boekensteun,boekensteun,bookend,use book as bookend,use book as bookend,2,5
CES201606,1602,40,book,boekensteun,boekensteun,bookend,use book as bookend,use book as bookend,2,5
CES201606,1685,43,book,boekensteun,boekensteun,bookend,use book as bookend,use book as bookend,2,5
CES201606,964,23,book,bord,bord,plate,use book as plate,use book as plate,3,3
CES201606,744,19,book,om mee te bouwen (meerdere),bouwen,build,use book as build,use book as build,2,3
CES201606,350,14,book,je kunt het ook gebruiken als bouwsteen,bouwsteen,building block,use book as building block,use book as building block,2,3
CES201606,1562,39,book,als bouwsteen gebruiken,bouwsteen,building block,use book as building block,use book as building block,2,3
CES201606,498,16,book,brandmateriaal,brandmateriaal,burning material,use book as burning material,use book as burning material,3,5
CES201606,1732,44,book,Brandmateriaal,brandmateriaal,burning material,use book as burning material,use book as burning material,3,5
CES201606,1285,29,book,brandstof (open haard),brandstof,fuel,use book as fuel,use book as fuel,3,5
CES201606,2035,49,book,brandstof,brandstof,fuel,use book as fuel,use book as fuel,3,5
CES201606,1686,43,book,brandstof om het vuur mee aan te houden,brandstof vuur houden,fuel keep fire,use book as fuel keep fire,use book as fuel keep fire,3,5
CES201606,741,19,book,om iemand iets bij te brengen/leren,brengen leren,impart learning,use book as impart learning,use book as impart learning,1,5
CES201606,1877,46,book,bureau,bureau,desk,use book as desk,use book as desk,4,2
CES201606,970,23,book,als cadeau verpakking,cadeau verpakking,gift packaging,use book as gift packaging,use book as gift packaging,3,4
CES201606,1350,30,book,cd/dvd s[eler met luisterdvd,cd dvd speler luister dvd,CD DVD player listen DVD,use book as CD DVD player listen DVD,use book as CD DVD player listen DVD,0,0
CES201606,209,12,book,decoratie,decoratie,decoration,use book as decoration,use book as decoration,3,4
CES201606,347,14,book,als decoratie gebruiken (bijv in je boekenkast),decoratie,decoration,use book as decoration,use book as decoration,3,4
CES201606,499,16,book,decoratie,decoratie,decoration,use book as decoration,use book as decoration,3,3
CES201606,653,18,book,als decoratie in de kamer ,decoratie kamer,decoration room,use book as decoration room,use book as decoration room,3,4
CES201606,1995,48,book,decoratie in kast,decoratie kast,decoration cupboard,use book as decoration cupboard,use book as decoration cupboard,3,4
CES201606,1199,27,book,deurstop,deurstop,doorstop,use book as doorstop,use book as doorstop,3,4
CES201606,1525,38,book,deurstopper,deurstopper,door stopper,use book as door stopper,use book as door stopper,3,4
CES201606,1731,44,book,Deurstopper,deurstopper,door stopper,use book as door stopper,use book as door stopper,3,4
CES201606,1869,46,book,deurstopper,deurstopper,door stopper,use book as door stopper,use book as door stopper,3,4
CES201606,1937,47,book,deurstop,deurstopper,door stopper,use book as door stopper,use book as door stopper,3,4
CES201606,2033,49,book,deurstopper,deurstopper,door stopper,use book as door stopper,use book as door stopper,3,4
CES201606,862,20,book,dingen aantonen,dingen aantonen,prove things,use book as prove things,use book as prove things,1,5
CES201606,344,14,book,je kunt er dingen in opschrijven,dingen opschrijven,write things down,use book as write things down,use book as write things down,1,5
CES201606,1458,36,book,domino mee spelen,domino spelen,play dominoes,use book as play dominoes,use book as play dominoes,4,4
CES201606,745,19,book,om doorheen te bladeren ,doorheen bladeren,browse through,use book as browse through,use book as browse through,1,5
CES201606,2095,50,book,dun boek: als vliegenmepper,dun boek vliegenmepper,thin book fly swatter,use book as thin book fly swatter,use book as thin book fly swatter,2,5
CES201606,1342,30,book,ereader,ereader,ereader,use book as ereader,use book as ereader,1,5
CES201606,861,20,book,erin markeren,erin markeren,mark in it,use book as mark in it,use book as mark in it,1,5
CES201606,863,20,book,ernaar verwijzen,ernaar verwijzen,refer to it,use book as refer to it,use book as refer to it,1,5
CES201606,851,20,book,erop staan als opstapje,erop staan opstapje,stand on it as step,use book as stand on it as step,use book as stand on it as step,2,4
CES201606,341,14,book,eruit lezen,eruit lezen,read from it,use book as read from it,use book to read from it,1,5
CES201606,864,20,book,eruit een liedje zingen,eruit liedje zingen,sing song out of it,use book as sing song out of it,use book as sing song out of it,1,5
CES201606,1353,30,book,film,film,movie,use book as movie,use book as movie,0,0
CES201606,750,19,book,als gatdichtstopper,gat dicht stoppen,plug hole,use book as plug hole,use book as plug hole,4,2
CES201606,1688,43,book,gat er in snijden zodat het een geheime opslag wordt,gat snijden zodat geheime opslag,cut hole so that secret storage,use book as cut hole so that secret storage,use book as cut hole so that secret storage,3,4
CES201606,2036,49,book,een geheimvak van knutselen,geheim vak knutselen,secret craft crafting,use book as secret craft crafting,use book as secret craft crafting,3,4
CES201606,654,18,book,om een geheime verstop plek in te maken ,geheime verstop plek,secret hiding place,use book as secret hiding place,use book as secret hiding place,3,4
CES201606,343,14,book,geluid mee maken,geluid,sound,use book as sound,use book as sound,2,5
CES201606,497,16,book,gewicht,gewicht,weight,use book as weight,use book as weight,2,4
CES201606,561,17,book,gooien,gooien,throw,use book as throw,use book as throw,2,5
CES201606,748,19,book,om mee te gooien,gooien,throw,use book as throw,use book as throw,2,5
CES201606,1941.2,47,book, gooien,gooien,throw,use book as throw,use book as throw,2,5
CES201606,1798,45,book,gordijn,gordijn,curtain,use book as curtain,use book as curtain,5,2
CES201606,850,20,book,hard dichtklappen als statement,hard dichtklappen statement,hard clapping statement,use book as hard clapping statement,use book as hard clapping statement,2,4
CES201606,966,23,book,hoed,hoed,hat,use book as hat,use book as hat,4,3
CES201606,1486,37,book,hoed,hoed,hat,use book as hat,use book as hat,4,3
CES201606,2118.2,51,book, van hoed tot kladpapier,hoed kladpapier,hat scrap paper,use book as hat scrap paper,use book as hat scrap paper,4,3
CES201606,742,19,book,als hoedje op je hoofd,hoedje hoofd,hat head,use book as hat head,use book as hat head,4,3
CES201606,2113.2,51,book, in een hoek,hoek,corner,use book as corner,use book as corner,2,3
CES201606,1643,42,book,gebruiken om iets op te hogen,hogen,high,use book as high,use book as high,2,4
CES201606,749,19,book,als hoofdonderlegger,hoofd onderlegger,main base,use book as main base,use book as main base,3,4
CES201606,849,20,book,iemand op het hoofd slaan,hoofd slaan,hit head,use book as hit head,use book as hit head,2,5
CES201606,2114,51,book,op je hoofd tegen de zon,hoofd tegen zon,head against sun,use book as head against sun,use book as head against sun,2,5
CES201606,206,12,book,hoofddeksel,hoofddeksel,headgear,use book as headgear,use book as headgear,4,3
CES201606,571,17,book,een huis van boeken bouwen,huis boeken bouwen,building house books,use book as building house books,use book as building house books,3,3
CES201606,1942,47,book,huis te bouwen voor barbies,huis bouwen barbies,house building barbies,use book as house building barbies,use book as house building barbies,3,3
CES201606,572,17,book,een hut van boeken bouwen,hut boeken bouwen,building hut books,use book as building hut books,use book as building hut books,3,3
CES201606,1564,39,book,inspiratie op te doen,inspiratie,inspiration,use book as inspiration,use book as inspiration,1,5
CES201606,656,18,book,om jezelf te slaan ,jezelf slaan,hit yourself,use book as hit yourself,use book as hit yourself,2,4
CES201606,568,17,book,jongleren,jongleren,juggling,use book as juggling,use book as juggling,3,5
CES201606,2113.1,51,book,een kartonnen plank,kartonnen plank,cardboard shelf,use book as cardboard shelf,use book as cardboard shelf,3,4
CES201606,856,20,book,in de kast zetten,kast zetten,put in cupboard,use book as put in cupboard,use book as put in cupboard,2,5
CES201606,659,18,book,om kasten te vullen ,kasten vullen,filling cupboards,use book as filling cupboards,use book as filling cupboards,2,5
CES201606,1997,48,book,kinderhuisje bouwen,kinderhuisje bouwen,build children's house,use book as build children's house,use book as build children's house,3,3
CES201606,500,16,book,kladboek,kladboek,scrapbook,use book as scrapbook,use book as scrapbook,1,5
CES201606,740,19,book,om een kleur mee uit te leggen,kleur leggen,lay color,use book as lay color,use book as lay color,4,4
CES201606,747,19,book,om uit te knippen,knippen,cut,use book as cut,use book as cut,2,5
CES201606,2093,50,book,koelte toewuiven,koelte toewuiven,fan cool,use book as fan cool,use book as fan cool,2,4
CES201606,854,20,book,kopen,kopen,buy,use book as buy,use book as buy,1,5
CES201606,1349,30,book,krijtbord ,krijtbord,chalkboard,use book as chalkboard,use book as chalkboard,3,2
CES201606,1644,42,book,als krukje gebruiken,krukje,stool,use book as stool,use book as stool,4,3
CES201606,1789,45,book,kunst,kunst,art,use book as art,use book as art,3,3
CES201606,1939,47,book,kunst om aan de muur te hangen,kunst muur hangen,art wall hanging,use book as art wall hanging,use book as art wall hanging,3,3
CES201606,1563,39,book,als kunst neerzetten,kunst neerzetten,create art,use book as create art,use book as create art,3,3
CES201606,1642,42,book,als kussen gebruiken ,kussen,pillow,use book as pillow,use book as pillow,4,3
CES201606,1874,46,book,kussen,kussen,pillow,use book as pillow,use book as pillow,4,3
CES201606,2098,50,book,of een L,l,l,use book as l,use book as l,0,0
CES201606,1456,36,book,labyrinth mee bouwen,labyrint bouwen,build labyrinth,use book as build labyrinth,use book as build labyrinth,5,3
CES201606,1201,27,book,ladder,ladder,ladder,use book as ladder,use book as ladder,4,2
CES201606,1348,30,book,laptop,laptop,Laptop,use book as Laptop,use book as Laptop,0,0
CES201606,1240,28,book,uit te leren,leren,learn,use book as learn,use book as learn,1,5
CES201606,2091,50,book,leuke toren mee bouwen,leuke toren bouwen,build nice tower,use book as build nice tower,use book as build nice tower,2,4
CES201606,651,18,book,om te lezen ,lezen,read,use book as read,use book to read,1,5
CES201606,737,19,book,om te lezen,lezen,read,use book as read,use book to read,1,5
CES201606,845,20,book,lezen,lezen,read,use book as read,use book to read,1,5
CES201606,1239,28,book,uit te lezen,lezen,read,use book as read,use book to read,1,5
CES201606,1399,35,book,lezen,lezen,read,use book as read,use book to read,1,5
CES201606,1559,39,book,lezen,lezen,read,use book as read,use book to read,1,5
CES201606,1993,48,book,lezen,lezen,read,use book as read,use book to read,1,5
CES201606,1155,26,book,lijmen aan de muur als decoratie,lijmen muur decoratie,gluing wall decoration,use book as gluing wall decoration,use book as gluing wall decoration,3,3
CES201606,1402,35,book,losse papiertjes vastleggen,losse papiertjes vastleggen,capture loose papers,use book as capture loose papers,use book as capture loose papers,2,5
CES201606,1796,45,book,luier,luier,diaper,use book as diaper,use book as diaper,5,3
CES201606,739,19,book,mooi voor de sier in kamer,mooi sier kamer,beautiful ornamental room,use book as beautiful ornamental room,use book as beautiful ornamental room,1,3
CES201606,1871,46,book,moordwapen,moordwapen,murder weapon,use book as murder weapon,use book as murder weapon,2,3
CES201606,1873,46,book,muismat,muismat,mouse pad,use book as mouse pad,use book as mouse pad,2,4
CES201606,658,18,book,om een muur mee te bouwen ,muur bouwen,building wall,use book as building wall,use book as building wall,2,3
CES201606,1526,38,book,muurplank,muurplank,wall shelf,use book as wall shelf,use book as wall shelf,3,4
CES201606,968.1,23,book,muziek maken,muziek,music,use book as music,use book as music,3,4
CES201606,566,17,book,niet lezen,niet lezen,don't read,use book as don't read,use book to don't read,1,5
CES201606,738,19,book,als onderlegger voor iets,onderlegger,underlay,use book as underlay,use book as underlay,2,5
CES201606,205,12,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,261,13,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,345,14,book,gebruiken als onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,426,15,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,496,16,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,963,23,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1052,24,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1103,25,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1287,29,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1455,36,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1485,37,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1523,38,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1689,43,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,1938,47,book,onderzetter,onderzetter,coaster,use book as coaster,use book as coaster,2,5
CES201606,2097,50,book,openhouden en zo een V vormen,openhouden v vormen,keep open to form v,use book as keep open to form v,use book as keep open to form v,1,4
CES201606,565,17,book,opeten,opeten,eat,use book as eat,use book as eat,4,1
CES201606,1241,28,book,opgavenboek,opgavenboek,exercise book,use book as exercise book,use book as exercise book,1,5
CES201606,564,17,book,opgraven,opgraven,dig up,use book as dig up,use book as dig up,3,3
CES201606,425,15,book,ophoging voor je computer,ophoging computer,increase computer,use book as increase computer,use book as increase computer,2,4
CES201606,1940,47,book,ophoging voor laptop,ophoging laptop,raising laptop,use book as raising laptop,use book as raising laptop,2,4
CES201606,1400,35,book,opstapelen voor verhoging,opstapelen verhoging,pile up increase,use book as pile up increase,use book as pile up increase,2,4
CES201606,346,14,book,gebruiken als opstapje,opstapje,stepping stone,use book as stepping stone,use book as stepping stone,2,4
CES201606,431,15,book,opvulling van de kast,opvulling kast,padding cupboard,use book as padding cupboard,use book as padding cupboard,1,5
CES201606,1793,45,book,origami,origami,origami,use book as origami,use book as origami,2,4
CES201606,847,20,book,pagina's uitscheuren en als confetti uit het raam gooien,pagina s uitscheuren confetti raam gooien,tearing out pages throwing confetti window,use book as tearing out pages throwing confetti window,use book as tearing out pages throwing confetti window,3,5
CES201606,2116,51,book,pannenonderzetter,pannen onderzetter,pan coaster,use book as pan coaster,use book as pan coaster,2,5
CES201606,2118.1,51,book,papier kun je voor vanalles gebruiken,papier kun,paper can,use book as paper can,use book as paper can,1,5
CES201606,1401,35,book,op papier leggen voor gladstrijken,papier leggen gladstrijken,laying paper smoothing,use book as laying paper smoothing,use book as laying paper smoothing,2,5
CES201606,1151,26,book,papier bij wijze van stressvermindering scheuren,papier wijze stressvermindering scheuren,paper wise stress reduction tearing,use book as paper wise stress reduction tearing,use book as paper wise stress reduction tearing,2,4
CES201606,1794,45,book,papiersnippers voor in de surprise,papiersnippers surprise,paper shreds surprise,use book as paper shreds surprise,use book as paper shreds surprise,2,5
CES201606,263,13,book,als paraplu tegen de regen,paraplu tegen regen,umbrella against rain,use book as umbrella against rain,use book as umbrella against rain,4,3
CES201606,1943.1,47,book,parasol,parasol,Beach umbrella,use book as Beach umbrella,use book as Beach umbrella,4,3
CES201606,1347,30,book,pc,pc,pc,use book as pc,use book as pc,0,0
CES201606,1992,48,book,als pers om iets glad te krijgen,pers glad krijgen,get press smooth,use book as get press smooth,use book as get press smooth,2,5
CES201606,1104,25,book,plankje aan de muur,plankje muur,shelf wall,use book as shelf wall,use book as shelf wall,3,4
CES201606,1343,30,book,radio met dj die verhalen vertelt,radio dj verhalen vertelt,radio DJ tells stories,use book as radio DJ tells stories,use book as radio DJ tells stories,3,5
CES201606,570,17,book,het ruilen tegen iets leuks,ruilen tegen leuks,exchange for something nice,use book as exchange for something nice,use book for exchange for something nice,2,5
CES201606,1791,45,book,ruimte opvulling,ruimte opvulling,space filling,use book as space filling,use book as space filling,1,5
CES201606,2094,50,book,ruiten mee ingooien,ruiten ingooien,smashing windows,use book as smashing windows,use book as smashing windows,2,4
CES201606,1153,26,book,scheiding voor in een kast,scheiding kast,separation cupboard,use book as separation cupboard,use book as separation cupboard,2,5
CES201606,1100,25,book,schrift,schrift,writing,use book as writing,use book as writing,2,5
CES201606,1734,44,book,Schrift,schrift,writing,use book as writing,use book as writing,2,5
CES201606,1344,30,book,schrift met pen,schrift pen,writing pen,use book as writing pen,use book as writing pen,2,5
CES201606,569,17,book,er in schrijven,schrijven,write,use book as write,use book as write,2,5
CES201606,752,19,book,om in te schrijven,schrijven,write,use book as write,use book as write,2,5
CES201606,848,20,book,schrijven,schrijven,write,use book as write,use book as write,2,5
CES201606,1994,48,book,om in te schrijven,schrijven,write,use book as write,use book as write,2,5
CES201606,1872,46,book,seksspeeltje,seksspeeltje,sex toy,use book as sex toy,use book as sex toy,4,1
CES201606,1797,45,book,chag draaie,shag draaien,rolling shag,use book as rolling shag,use book as rolling shag,4,4
CES201606,2120,51,book,voor de sier in huis,sier huis,ornamental house,use book as ornamental house,use book as ornamental house,3,4
CES201606,857,20,book,als sierobject in de kamer leggen,sierobject kamer leggen,place decorative object in room,use book as place decorative object in room,use book as place decorative object in room,3,4
CES201606,575,17,book,er sigaretten van draaien,sigaretten draaien,rolling cigarettes,use book as rolling cigarettes,use book as rolling cigarettes,4,4
CES201606,428,15,book,je kan er iemand mee slaan,slaan,beat,use book as beat,use book as beat,2,4
CES201606,655,18,book,om iemand mee te slaan ,slaan,beat,use book as beat,use book as beat,2,4
CES201606,1238,28,book,iemand mee slaan,slaan,beat,use book as beat,use book as beat,2,4
CES201606,1560,39,book,slaan,slaan,beat,use book as beat,use book as beat,2,4
CES201606,1640,42,book,Slaan,slaan,beat,use book as beat,use book as beat,2,4
CES201606,968.2,23,book, een soort trommel is het,soort trommel,kind of drum,use book as kind of drum,use book as kind of drum,3,4
CES201606,743,19,book,om mee te spelen ,spelen,play,use book as play,use book as play,2,3
CES201606,262,13,book, een stapel boeken als nachtkastje,stapel boeken nachtkastje,stack of books bedside table,use book as stack of books bedside table,use book as stack of books bedside table,1,5
CES201606,1453,36,book,Stapels mee bouwen,stapels bouwen,building stacks,use book as building stacks,use book as building stacks,1,5
CES201606,495,16,book,steun voor meubels,steun meubels,support furniture,use book as support furniture,use book as support furniture,2,4
CES201606,652,18,book,als steun pilaar ,steun pilaar,support pillar,use book as support pillar,use book as support pillar,2,4
CES201606,1150,26,book,steuntje voor meubelen,steuntje meubelen,furniture support,use book as furniture support,use book as furniture support,2,4
CES201606,661,18,book,een stoel van maken,stoel,chair,use book as chair,use book as chair,3,3
CES201606,1101,25,book,stoel,stoel,chair,use book as chair,use book as chair,3,3
CES201606,1875,46,book,stoel,stoel,chair,use book as chair,use book as chair,3,3
CES201606,573,17,book,een stoel van boeken bouwen,stoel boeken bouwen,building chair books,use book as building chair books,use book as building chair books,3,3
CES201606,1792,45,book,stoer doen met een boekenkast,stoer boekenkast,cool bookcase,use book as cool bookcase,use book as cool bookcase,2,3
CES201606,860,20,book,studeren,studeren,study,use book as study,use book as study,1,5
CES201606,1102,25,book,tafel,tafel,table,use book as table,use book as table,3,3
CES201606,657,18,book,om een tafel mee te bouwen ,tafel bouwen,build table,use book as build table,use book as build table,3,3
CES201606,969,23,book,om de tafel niet schuin te karten staan,tafel niet schuin karten staan,table should not be tilted,use book as table should not be tilted,use book as table should not be tilted,2,4
CES201606,1790,45,book,tafel ophogen,tafel ophogen,raise table,use book as raise table,use book as raise table,2,4
CES201606,1200,27,book,om de tafelpoten gelijk te krijgen,tafelpoten gelijk krijgen,align table legs,use book as align table legs,use book as align table legs,2,4
CES201606,427,15,book,tafeltennisbadje,tafeltennis badje,table tennis pool,use book as table tennis pool,use book as table tennis pool,4,5
CES201606,1242,28,book,in tekenen,tekenen,draw,use book as draw,use book as draw,2,5
CES201606,753,19,book,ter inspiratie,ter inspiratie,inspirational,use book as inspirational,use book as inspirational,1,5
CES201606,751,19,book,ter opvulling van koffer ,ter opvulling koffer,fill suitcase,use book as fill suitcase,use book as fill suitcase,2,4
CES201606,1352,30,book,theater,theater,theater,use book as theater,use book as theater,0,0
CES201606,207,12,book,trappetje,trappetje,stairs,use book as stairs,use book as stairs,3,3
CES201606,429,15,book,je kan er op trommelen,trommelen,drumming,use book as drumming,use book as drumming,3,4
CES201606,1105,25,book,tunnel,tunnel,tunnel,use book as tunnel,use book as tunnel,0,0
CES201606,1346,30,book,tv,tv,TV,use book as TV,use book as TV,0,0
CES201606,1345,30,book,typemachinen met papier,typemachine papier,typewriter paper,use book as typewriter paper,use book as typewriter paper,0,0
CES201606,1351,30,book,uitbeelden,uitbeelden,portray,use book as portray,use book as portray,3,4
CES201606,1996,48,book,uitspaken verzamelen,uitspraken verzamelen,collect statements,use book as collect statements,use book as collect statements,3,5
CES201606,562,17,book,vangen,vangen,catch,use book as catch,use book as catch,2,5
CES201606,846,20,book,verbranden,verbranden,burn,use book as burn,use book as burn,3,5
CES201606,351,14,book,verbranden in de kachel (als hout),verbranden kachel,burning stove,use book as burning stove,use book as burning stove,3,5
CES201606,2092.2,50,book, drie en verder.  Trapje voor de poes.,verder trapje poes,further stairs cat,use book as further stairs cat,use book as further stairs cat,3,4
CES201606,1107,25,book,verduisteraar,verduisteraar,blinds,use book as blinds,use book as blinds,3,3
CES201606,965,23,book,verfdoek,verfdoek,paint cloth,use book as paint cloth,use book as paint cloth,3,3
CES201606,1202,27,book,verfrommelde papieren glad strijken,verfrommelde papieren glad strijken,smoothing out crumpled papers,use book as smoothing out crumpled papers,use book as smoothing out crumpled papers,2,5
CES201606,967,23,book,verhoging,verhoging,elevation,use book as elevation,use book as elevation,2,4
CES201606,1524,38,book,verhoging,verhoging,elevation,use book as elevation,use book as elevation,2,4
CES201606,1733,44,book,Verhoging,verhoging,elevation,use book as elevation,use book as elevation,2,4
CES201606,2115,51,book,als verhoging van iets,verhoging,elevation,use book as elevation,use book as elevation,2,4
CES201606,349,14,book,als verkoeler (wapperen met die bladeren),verkoelen,cool down,use book as cool down,use book as cool down,2,4
CES201606,853,20,book,verkopen,verkopen,sell,use book as sell,use book as sell,1,5
CES201606,567,17,book,verscheuren,verscheuren,tear up,use book as tear up,use book as tear up,2,5
CES201606,348,14,book,om iets in te verstoppen (bijv een briefje of een kauwgompje),verstoppen,hide,use book as hide,use book as hide,3,4
CES201606,1152,26,book,om in te verven,verven,paint,use book as paint,use book as paint,3,4
CES201606,858,20,book,verzamelen,verzamelen,collect,use book as collect,use book as collect,2,5
CES201606,2037,49,book,vliegenmepper,vliegenmepper,fly swatter,use book as fly swatter,use book as fly swatter,3,4
CES201606,1687,43,book,vliegtuigjes vouwen,vliegtuigjes vouwen,folding airplanes,use book as folding airplanes,use book as folding airplanes,3,5
CES201606,660,18,book,om vuur mee te maken ,vuur,firework,use book as firework,use book as firework,3,5
CES201606,1203,27,book,vuur mee maken,vuur,firework,use book as firework,use book as firework,3,5
CES201606,1788,45,book,vuur,vuur,firework,use book as firework,use book as firework,3,5
CES201606,1561,39,book,om vuur aan te houden,vuur houden,keep fire,use book as keep fire,use book as keep fire,3,5
CES201606,2034,49,book,waaier,waaier,fan,use book as fan,use book as fan,3,4
CES201606,342,14,book,gebruiken als wapen (er mee gooien)\,wapen,weapon,use book as weapon,use book as weapon,3,4
CES201606,1283,29,book,wapen,wapen,weapon,use book as weapon,use book as weapon,3,4
CES201606,1941.1,47,book,als wapen,wapen,weapon,use book as weapon,use book as weapon,3,4
CES201606,2119,51,book,wapperen als waaier,wapperen waaier,fluttering fan,use book as fluttering fan,use book as fluttering fan,3,4
CES201606,211,12,book,wcpapier,wc papier,toilet paper,use book as toilet paper,use book as toilet paper,3,4
CES201606,1286,29,book,wc papier,wc papier,toilet paper,use book as toilet paper,use book as toilet paper,3,4
CES201606,1691,43,book,wc papier,wc papier,toilet paper,use book as toilet paper,use book as toilet paper,3,4
CES201606,1795,45,book,wc papier,wc papier,toilet paper,use book as toilet paper,use book as toilet paper,3,4
CES201606,1870,46,book,wc papier,wc papier,toilet paper,use book as toilet paper,use book as toilet paper,3,4
CES201606,2090,50,book,als het wc-papier op is gebruiken,wc papier,toilet paper,use book as toilet paper,use book as toilet paper,3,4
CES201606,1690,43,book,wiebelende tafel mee rechtzetten,wiebelende tafel rechtzetten,straighten wobbly table,use book as straighten wobbly table,use book as straighten wobbly table,2,4
CES201606,1106,25,book,wikkel,wikkel,wrap,use book as wrap,use book as wrap,3,4
CES201606,1484,37,book,zakdoek,zakdoek,handkerchief,use book as handkerchief,use book as handkerchief,3,3
CES201606,1641,42,book,op zitten,zitten,sit,use book as sit,use book as sit,2,3
